D,H,V,QF
83,9,4.56,I
90.4,18,7.68,I
95.17,14,6.71,I
86.58,16,5.16,II
96.45,14,5.81,II
57.93,17,2.91,II
76.39,14,5.12,II
76.08,16,4.8,I
76.39,15,4.1,I
66.85,18,3.44,III
124.14,12,11.06,III
101.22,14,7.22,III
73.53,17,5.43,III
75.12,12,3.13,III
77.35,13,4,III
82.12,16,6.18,III
75.76,13,3.15,III
76.39,12,4.13,II
98.36,19,9.38,II
86,16,6.56,II
63,15,1.89,II
59,10,2.22,II
140.06,15,11.83,II
95.49,12,6.2,I
74.48,12,4.1,I
57.93,18,2.29,I
82.76,13,3.78,I
128.92,18,17.58,I
70.03,14,4.79,I
102.81,17,7.49,I
85.94,16,7.58,I
70.66,9,2.88,I
